Height,Weight,Chest,Waist,Hip,Inseam
137,40,86.327,71.7583,90.5186,27.8
137,41,87.1254,72.5108,91.1174,27.9
137,42,87.9238,73.2633,91.816,27.9
137,43,88.6224,74.0158,92.4148,27.9
137,44,89.4208,74.76830000000001,93.0136,27.9
137,45,90.2192,75.52080000000001,93.6124,27.9
137,46,90.9178,76.2733,94.311,27.9
137,47,91.7162,77.0258,94.9098,27.9
137,48,92.5146,77.7783,95.5086,28
137,49,93.2132,78.5308,96.1074,28
137,50,94.0116,79.2833,96.806,28
137,51,94.81,80.0358,97.4048,28
137,52,95.5086,80.78829999999999,98.0036,28
137,53,96.307,81.5408,98.7022,28
137,54,97.1054,82.2933,99.301,28.1
137,55,97.804,83.0458,99.8998,28.1
137,56,98.6024,83.79830000000001,100.5984,28.1
137,57,99.4008,84.55080000000001,101.1972,28.1
137,58,100.0994,85.30330000000001,101.796,28.1
137,59,100.8978,86.0558,102.3948,28.1
137,60,101.6962,86.8083,103.0934,28.1
137,61,102.3948,87.5608,103.6922,28.2
137,62,103.1932,88.3133,104.291,28.2
137,63,103.9916,89.0658,104.9896,28.2
137,64,104.79,89.8183,105.5884,28.2
137,65,105.4886,90.57079999999999,106.1872,28.2
137,66,106.287,91.3233,106.786,28.3
137,67,107.0854,92.0758,107.4846,28.3
137,68,107.784,92.8283,108.0834,28.3
137,69,108.5824,93.58080000000001,108.6822,28.3
137,70,109.281,94.33330000000001,109.3808,28.3
137,71,110.0794,95.0858,109.9796,28.3
137,72,110.8778,95.8383,110.5784,28.3
137,73,111.5764,96.5908,111.1772,28.4
137,74,112.3748,97.3433,111.8758,28.4
137,75,113.1732,98.0958,112.4746,28.4
137,76,113.9716,98.8483,113.0734,28.4
137,77,114.6702,99.60079999999999,113.772,28.4
137,78,115.4686,100.35329999999999,114.3708,28.4
137,79,116.267,101.1058,114.9696,28.4
137,80,116.9656,101.8583,115.5684,28.5
137,81,117.764,102.6108,116.267,28.5
137,82,118.5624,103.36330000000001,116.8658,28.5
137,83,119.261,104.11580000000001,117.4646,28.5
137,84,120.0594,104.8683,118.1632,28.5
137,85,120.8578,105.6208,118.762,28.5
137,86,121.5564,106.3733,119.3608,28.6
137,87,122.3548,107.1258,119.9596,28.6
137,88,123.1532,107.8783,120.6582,28.6
137,89,123.8518,108.6308,121.257,28.6
137,90,124.6502,109.38329999999999,121.8558,28.6
137,91,125.4486,110.13579999999999,122.5544,28.6
137,92,126.1472,110.88829999999999,123.1532,28.6
137,93,126.9456,111.64080000000001,123.752,28.7
137,94,127.744,112.39330000000001,124.3508,28.7
137,95,128.4426,113.14580000000001,125.0494,28.7
137,96,129.241,113.8983,125.6482,28.7
137,97,130.0394,114.6508,126.247,28.7
137,98,130.738,115.4033,126.9456,28.8
137,99,131.5364,116.1558,127.5444,28.8
137,100,132.3348,116.9083,128.1432,28.8
137,101,133.0334,117.6608,128.8418,28.8
137,102,133.8318,118.41329999999999,129.4406,28.8
137,103,134.6302,119.16579999999999,130.0394,28.8
137,104,135.3288,119.91829999999999,130.6382,28.8
137,105,136.1272,120.67079999999999,131.3368,28.9
137,106,136.9256,121.42330000000001,131.9356,28.9
137,107,137.6242,122.17580000000001,132.5344,28.9
137,108,138.4226,122.92830000000001,133.1332,28.9
137,109,139.221,123.6808,133.8318,28.9
137,110,139.9196,124.4333,134.4306,28.9
137,111,140.718,125.1858,135.0294,28.9
137,112,141.5164,125.9383,135.728,29
137,113,142.215,126.6908,136.3268,29
137,114,143.0134,127.4433,136.9256,29
137,115,143.8118,128.1958,137.5244,29
137,116,144.5104,128.9483,138.223,29
137,117,145.3088,129.7008,138.8218,29.1
137,118,146.1072,130.45329999999998,139.4206,29.1
137,119,146.8058,131.2058,140.1192,29.1
