Height,Weight,Chest,Waist,Hip
137,40,86.327,68.57060000000001,90.5186
137,41,87.1254,69.2312,91.1174
137,42,87.9238,69.8918,91.816
137,43,88.6224,70.5524,92.4148
137,44,89.4208,71.21300000000001,93.0136
137,45,90.2192,71.87360000000001,93.6124
137,46,90.9178,72.5342,94.311
137,47,91.7162,73.1948,94.9098
137,48,92.5146,73.8554,95.5086
137,49,93.2132,74.516,96.1074
137,50,94.0116,75.17660000000001,96.806
137,51,94.81,75.8372,97.4048
137,52,95.5086,76.49780000000001,98.0036
137,53,96.307,77.1584,98.7022
137,54,97.1054,77.819,99.301
137,55,97.804,78.4796,99.8998
137,56,98.6024,79.14020000000001,100.5984
137,57,99.4008,79.80080000000001,101.1972
137,58,100.0994,80.4614,101.796
137,59,100.8978,81.12200000000001,102.3948
137,60,101.6962,81.7826,103.0934
137,61,102.3948,82.4432,103.6922
137,62,103.1932,83.1038,104.291
137,63,103.9916,83.7644,104.9896
137,64,104.79,84.42500000000001,105.5884
137,65,105.4886,85.0856,106.1872
137,66,106.287,85.7462,106.786
137,67,107.0854,86.4068,107.4846
137,68,107.784,87.0674,108.0834
137,69,108.5824,87.72800000000001,108.6822
137,70,109.281,88.3886,109.3808
137,71,110.0794,89.04920000000001,109.9796
137,72,110.8778,89.7098,110.5784
137,73,111.5764,90.3704,111.1772
137,74,112.3748,91.031,111.8758
137,75,113.1732,91.6916,112.4746
137,76,113.9716,92.35220000000001,113.0734
137,77,114.6702,93.0128,113.772
137,78,115.4686,93.6734,114.3708
137,79,116.267,94.334,114.9696
137,80,116.9656,94.9946,115.5684
137,81,117.764,95.65520000000001,116.267
137,82,118.5624,96.3158,116.8658
137,83,119.261,96.97640000000001,117.4646
137,84,120.0594,97.637,118.1632
137,85,120.8578,98.2976,118.762
137,86,121.5564,98.9582,119.3608
137,87,122.3548,99.6188,119.9596
137,88,123.1532,100.27940000000001,120.6582
137,89,123.8518,100.94,121.257
137,90,124.6502,101.6006,121.8558
137,91,125.4486,102.2612,122.5544
137,92,126.1472,102.9218,123.1532
137,93,126.9456,103.5824,123.752
137,94,127.744,104.243,124.3508
137,95,128.4426,104.90360000000001,125.0494
137,96,129.241,105.5642,125.6482
137,97,130.0394,106.2248,126.247
137,98,130.738,106.8854,126.9456
137,99,131.5364,107.546,127.5444
137,100,132.3348,108.20660000000001,128.1432
137,101,133.0334,108.8672,128.8418
137,102,133.8318,109.5278,129.4406
137,103,134.6302,110.1884,130.0394
137,104,135.3288,110.849,130.6382
137,105,136.1272,111.5096,131.3368
137,106,136.9256,112.17020000000001,131.9356
137,107,137.6242,112.8308,132.5344
137,108,138.4226,113.4914,133.1332
137,109,139.221,114.152,133.8318
137,110,139.9196,114.8126,134.4306
137,111,140.718,115.4732,135.0294
137,112,141.5164,116.13380000000001,135.728
137,113,142.215,116.7944,136.3268
137,114,143.0134,117.455,136.9256
137,115,143.8118,118.1156,137.5244
137,116,144.5104,118.7762,138.223
137,117,145.3088,119.4368,138.8218
137,118,146.1072,120.09740000000001,139.4206
137,119,146.8058,120.758,140.1192
137,120,147.6042,121.4186,140.718
137,121,148.4026,122.0792,141.3168
137,122,149.1012,122.7398,142.0154
137,123,149.8996,123.4004,142.6142
137,124,150.698,124.061,143.213
137,125,151.3966,124.7216,143.8118
137,126,152.195,125.3822,144.5104
137,127,152.9934,126.0428,145.1092
137,128,153.7918,126.7034,145.708
137,129,154.4904,127.364,146.4066
137,130,155.2888,128.02460000000002,147.0054
137,131,155.9874,128.6852,147.6042
137,132,156.7858,129.3458,148.203
137,133,157.5842,130.00639999999999,148.9016
137,134,158.3826,130.667,149.5004
137,135,159.0812,131.32760000000002,150.0992
137,136,159.8796,131.9882,150.7978
137,137,160.5782,132.6488,151.3966
137,138,161.3766,133.30939999999998,151.9954
137,139,162.175,133.97,152.5942
137,140,162.9734,134.63060000000002,153.2928
137,141,163.672,135.2912,153.8916
137,142,164.4704,135.9518,154.4904
137,143,165.2688,136.6124,155.0892
137,144,165.9674,137.273,155.7878
137,145,166.7658,137.9336,156.3866
137,146,167.4644,138.5942,156.9854
137,147,168.2628,139.2548,157.684
137,148,169.0612,139.9154,158.2828
137,149,169.8596,140.57600000000002,158.8816
137,150,170.5582,141.2366,159.4804
138,40,86.0276,68.3529,90.4188
138,41,86.826,69.01350000000001,91.0176
138,42,87.5246,69.67410000000001,91.6164
138,43,88.323,70.3347,92.315
138,44,89.1214,70.9953,92.9138
138,45,89.82,71.6559,93.5126
138,46,90.6184,72.3165,94.1114
138,47,91.317,72.97710000000001,94.81
138,48,92.1154,73.6377,95.4088
138,49,92.9138,74.29830000000001,96.0076
138,50,93.7122,74.9589,96.6064
138,51,94.4108,75.6195,97.305
138,52,95.2092,76.2801,97.9038
138,53,96.0076,76.9407,98.5026
